YIL;AY;FAALIYET_TURU;TOPLAM_ADET
2020;1;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;692
2020;2;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;715
2020;3;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;810
2020;4;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;733
2020;5;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1232
2020;6;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1388
2020;7;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1390
2020;8;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1112
2020;9;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;857
2020;10;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1072
2020;11;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;931
2020;12;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;792
2021;1;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;904
2021;2;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;706
2021;3;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;777
2021;4;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;907
2021;5;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1495
2021;6;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1443
2021;7;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1314
2021;8;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;950
2021;9;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;831
2021;10;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1064
2021;11;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;974
2021;12;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;903
2022;1;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;907
2022;2;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;790
2022;3;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;766
2022;4;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1150
2022;5;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1595
2022;6;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1508
2022;7;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1531
2022;8;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1394
2022;9;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1429
2022;10;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1588
2022;11;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1259
2022;12;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1123
2023;1;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;829
2023;2;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;774
2023;3;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;798
2023;4;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;969
2023;5;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1249
2023;6;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1484
2023;7;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1578
2023;8;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1321
2023;9;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1353
2023;10;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1165
2023;11;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1124
2023;12;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1008
2024;1;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1371
2024;2;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1189
2024;3;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1246
2024;4;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1388
2024;5;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1761
2024;6;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;2168
2024;7;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1695
2024;8;Acil Müdahale Ekibi Müdahale Edilen Hayvan Sayısı;1146
